2026-05-31T15:44:44.196156532-0400,192.168.88.1,
2026-05-31T15:44:44.619565175-0400,,
2026-05-31T15:44:45.831743531-0400,192.168.88.1,fe80::a332:8bbb:7497:5937._xboxda._tcp.local
2026-05-31T15:44:45.831989923-0400,,fe80::a332:8bbb:7497:5937._xboxda._tcp.local
2026-05-31T15:44:45.837647376-0400,192.168.88.1,fe80::a332:8bbb:7497:5937._xboxda._tcp.local
2026-05-31T15:44:45.837927390-0400,,fe80::a332:8bbb:7497:5937._xboxda._tcp.local
2026-05-31T15:44:45.849968909-0400,192.168.88.1,fe80::a332:8bbb:7497:5937._xboxda._tcp.local
2026-05-31T15:44:45.850042855-0400,,fe80::a332:8bbb:7497:5937._xboxda._tcp.local
2026-05-31T15:44:45.850661837-0400,192.168.88.1,fe80::a332:8bbb:7497:5937._xboxda._tcp.local
2026-05-31T15:44:45.850899394-0400,,fe80::a332:8bbb:7497:5937._xboxda._tcp.local
2026-05-31T15:44:45.851318832-0400,192.168.88.1,fe80::a332:8bbb:7497:5937._xboxda._tcp.local
2026-05-31T15:44:45.851425645-0400,,fe80::a332:8bbb:7497:5937._xboxda._tcp.local
2026-05-31T15:44:46.191106831-0400,192.168.88.1,
2026-05-31T15:44:47.186557753-0400,192.168.88.1,
2026-05-31T15:44:48.650736196-0400,,
2026-05-31T15:44:49.004456371-0400,192.168.88.1,
2026-05-31T15:44:49.181884253-0400,192.168.88.1,
2026-05-31T15:44:49.613283644-0400,,
2026-05-31T15:44:50.603183269-0400,,
2026-05-31T15:44:51.659270051-0400,,
2026-05-31T15:44:52.597436288-0400,,
2026-05-31T15:44:53.603245912-0400,,
2026-05-31T15:44:56.108414089-0400,192.168.88.1,
2026-05-31T15:45:00.559638750-0400,192.168.88.138,
2026-05-31T15:45:05.803967130-0400,,
2026-05-31T15:45:05.804077334-0400,,
2026-05-31T15:45:05.824883401-0400,192.168.88.1,
2026-05-31T15:45:15.541541403-0400,192.168.88.1,
2026-05-31T15:45:15.808452269-0400,192.168.88.138,
2026-05-31T15:45:15.877891567-0400,212.138.170.134,
2026-05-31T15:45:19.001835987-0400,192.168.88.1,
2026-05-31T15:45:25.970499955-0400,192.168.88.1,
2026-05-31T15:45:34.549878769-0400,192.168.88.1,_hue._tcp.local
2026-05-31T15:45:34.550069856-0400,,_hue._tcp.local
2026-05-31T15:45:34.578233015-0400,192.168.88.1,_nanoleafapi._tcp.local
2026-05-31T15:45:34.578233472-0400,,_nanoleafapi._tcp.local
2026-05-31T15:45:34.622736569-0400,192.168.88.1,_wled._tcp.local
2026-05-31T15:45:34.622955152-0400,,_wled._tcp.local
2026-05-31T15:45:34.712690424-0400,192.168.88.1,_srgbmods-wlc._tcp.local
2026-05-31T15:45:34.712903502-0400,,_srgbmods-wlc._tcp.local
2026-05-31T15:45:34.745636075-0400,192.168.88.1,_aura._tcp.local
2026-05-31T15:45:34.745840718-0400,,_aura._tcp.local
2026-05-31T15:45:35.687215478-0400,192.168.88.1,
2026-05-31T15:45:44.428503123-0400,192.168.88.1,
2026-05-31T15:45:45.401105100-0400,192.168.88.1,
2026-05-31T15:45:46.371705729-0400,192.168.88.1,
2026-05-31T15:45:48.162423954-0400,192.168.88.1,
2026-05-31T15:45:48.315807177-0400,192.168.88.1,
2026-05-31T15:45:48.771290227-0400,192.168.88.138,
2026-05-31T15:45:53.880269641-0400,,
2026-05-31T15:45:53.880414791-0400,,
2026-05-31T15:45:55.118688877-0400,192.168.88.1,
2026-05-31T15:46:04.021085643-0400,192.168.88.138,
2026-05-31T15:46:04.087164255-0400,212.138.170.134,
2026-05-31T15:46:06.219818942-0400,192.168.88.1,
2026-05-31T15:46:16.022793792-0400,192.168.88.1,
2026-05-31T15:46:18.829594401-0400,192.168.88.1,
2026-05-31T15:46:25.825651593-0400,192.168.88.1,
2026-05-31T15:46:30.163393309-0400,,
2026-05-31T15:46:31.416706479-0400,192.168.88.1,
2026-05-31T15:46:31.417070690-0400,192.168.88.1,
2026-05-31T15:46:31.595711602-0400,,
2026-05-31T15:46:32.128516908-0400,,
2026-05-31T15:46:32.404192044-0400,192.168.88.1,
2026-05-31T15:46:32.404192486-0400,192.168.88.1,
2026-05-31T15:46:33.112202352-0400,,
